transactionHash,dateTime,from,to,transactionType,assetContract,assetSymbol,tokenId,value,gasFeeEth
"0x9e260d3fb83788eea805454091d58c014ceb78f734175f716c06eac452d6e3c9","2021-10-03T09:07:22.000Z","0xc098b2a3aa256d2140208c3de6543aaef5cd3a94","0xd620aadabaa20d2af700853c4504028cba7c3333","ETH","","ETH","","0.019000","0.001110"
"0xa619194c496b77ce077e01c6d4e70ea6a0011e225db125b451df67a43f8c6c9c","2021-10-03T09:29:40.000Z","0xd620aadabaa20d2af700853c4504028cba7c3333","0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0","ETH","","ETH","","0.000000","0.002194"
"0x32562e09e7cb6e96cf1b863bd2ed2bd8743c1d2ef351ebf5a5be6e9ddc5c6f02","2021-10-03T09:31:17.000Z","0xd620aadabaa20d2af700853c4504028cba7c3333","0x401f6c983ea34274ec46f84d70b31c151321188b","ETH","","ETH","","0.000000","0.006670"
"0xfc6c27b964b6f27ce5f036ee16e75ef1b353cb329904b8a0489dcff9158e386e","2021-10-04T09:09:54.000Z","0xc098b2a3aa256d2140208c3de6543aaef5cd3a94","0xd620aadabaa20d2af700853c4504028cba7c3333","ETH","","ETH","","0.098999","0.001261"
"0xc1693b6ab73c9c9274fece784436363c84bd5861c74fba31f677a94cb32c38f7","2021-10-04T09:31:09.000Z","0xd620aadabaa20d2af700853c4504028cba7c3333","0xa0c68c638235ee32657e8f720a23cec1bfc77c77","ETH","","ETH","","0.080000","0.003420"
"0x115770b0e59898e55e73bda0310b5e7f0d767ada0933693777317a5b17ac1fb4","2022-05-11T08:30:34.000Z","0x7e28bbdcc4d3c3c8df646c37ac0ee66ad1c9c04d","0xd620aadabaa20d2af700853c4504028cba7c3333","ETH","","ETH","","0.200000","0.001872"
"0x4cd88e0ffce450f3edbc169c3690d008b363b083611ece8b18c4146424827bc1","2022-05-11T09:12:23.000Z","0xd620aadabaa20d2af700853c4504028cba7c3333","0xdef171fe48cf0115b1d80b88dc8eab59176fee57","ETH","","ETH","","0.000000","0.018345"
"0x51cf322f491378cbfb501df941080bb90c1fe13ff35a92dd191a1bbb5230c691","2022-05-11T09:13:29.000Z","0xd620aadabaa20d2af700853c4504028cba7c3333","0xdac17f958d2ee523a2206206994597c13d831ec7","ETH","","ETH","","0.000000","0.002989"
"0x8f46b9e76ad59c41cb21356db6224555ebd451d4ebac0b892a34861fc581f6eb","2022-05-11T09:26:16.000Z","0xd620aadabaa20d2af700853c4504028cba7c3333","0xdef171fe48cf0115b1d80b88dc8eab59176fee57","ETH","","ETH","","0.000000","0.004097"
"0x60592fe3e0cd0a788c35fb2551ee72771447c36cf5c931d3e23acf77140a9a85","2022-05-11T11:25:01.000Z","0xd620aadabaa20d2af700853c4504028cba7c3333","0xdef171fe48cf0115b1d80b88dc8eab59176fee57","ETH","","ETH","","0.000000","0.023750"
"0xe4a59bdf739c8a30c2a626d38a78233d7ffc95cdb301bd82f75f99ea69e702a7","2022-05-11T11:29:15.000Z","0xd620aadabaa20d2af700853c4504028cba7c3333","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","ETH","","ETH","","0.000000","0.003726"
